City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Porto Uniao,BR,-26.2381,-51.0783,51.67,98,80,1.72,broken clouds
80,Souillac,MU,-20.5167,57.5167,71.98,78,75,14.97,broken clouds
81,Alexandria,EG,31.2156,29.9553,82.36,54,40,11.5,scattered clouds
82,Kahului,US,20.8947,-156.47,78.82,68,20,13.8,few clouds
83,Isangel,VU,-19.55,169.2667,82.51,78,75,4.61,broken clouds
84,Husavik,IS,66.0449,-17.3389,47.93,98,100,2.42,overcast clouds
85,Alyangula,AU,-13.8483,136.4192,71.28,68,86,10.38,overcast clouds
86,Kavieng,PG,-2.5744,150.7967,82.33,78,15,11.65,light rain
87,Bengkulu,ID,-3.8004,102.2655,83.55,68,41,7.09,scattered clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,41.07,90,99,10.11,overcast clouds
89,Margate,GB,51.3813,1.3862,71.87,72,0,5.86,clear sky
90,Airai,TL,-8.9266,125.4092,63.43,81,84,3.69,broken clouds
91,Fairbanks,US,64.8378,-147.7164,66.31,87,75,9.22,smoke
92,Peleduy,RU,59.6289,112.7406,75.15,40,95,4.92,overcast clouds
93,Cockburn Town,TC,21.4612,-71.1419,81.01,82,100,20.04,overcast clouds
94,Mehamn,NO,71.0357,27.8492,57.15,77,0,4.61,clear sky
95,Kommunar,RU,59.6206,30.39,70.52,72,100,5.12,overcast clouds
96,Lengshuijiang,CN,27.6881,111.4294,95.36,53,90,9.78,overcast clouds
97,Qaanaaq,GL,77.484,-69.3632,39.83,94,100,3.2,overcast clouds
98,Hasaki,JP,35.7333,140.8333,91.29,84,83,9.71,broken clouds
99,Torbay,CA,47.6666,-52.7314,55.27,87,0,10.36,clear sky
100,Busselton,AU,-33.65,115.3333,59.58,63,67,5.66,broken clouds
101,Port-Gentil,GA,-0.7193,8.7815,67.96,94,20,3.44,few clouds
102,Saint George,US,37.1041,-113.5841,88.79,19,0,5.75,clear sky
103,Chuy,UY,-33.6971,-53.4616,61.66,98,100,8.52,overcast clouds
104,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,89,31,6.06,scattered clouds
105,Kachug,RU,53.9606,105.8817,77.49,28,96,5.37,overcast clouds
106,Marsh Harbour,BS,26.5412,-77.0636,82.78,77,4,14.34,clear sky
107,Aklavik,CA,68.2191,-135.0107,59.02,75,95,10.87,overcast clouds
108,Cap Malheureux,MU,-19.9842,57.6142,74.46,67,0,13.0,clear sky
109,Arraial Do Cabo,BR,-22.9661,-42.0278,69.75,89,6,21.85,clear sky
110,Uturoa,PF,-16.7333,-151.4333,77.97,77,32,17.22,light rain
111,Dingle,PH,10.9995,122.6711,83.44,80,100,10.38,overcast clouds
112,Atherton,GB,53.5237,-2.4935,67.75,80,100,3.0,overcast clouds
113,Worland,US,44.0169,-107.9554,69.6,54,0,12.66,clear sky
114,Asau,RO,46.4333,26.4,61.72,67,9,2.33,clear sky
115,Razdolinsk,RU,58.4211,94.6658,75.85,40,47,9.33,scattered clouds
116,Kamalia,PK,30.7333,72.65,98.33,44,92,8.03,overcast clouds
117,Muisne,EC,0.6,-80.0333,73.36,84,100,7.83,overcast clouds
118,Fond Du Lac,US,43.775,-88.4388,68.07,88,0,5.75,clear sky
119,Mountain Home,US,43.133,-115.6912,67.48,32,0,11.5,clear sky
120,Dickinson,US,29.4608,-95.0513,86.13,84,0,1.99,clear sky
121,Ixtapa,MX,20.7,-105.2,78.22,88,100,5.75,thunderstorm
122,Brake,DE,53.3333,8.4833,59.23,98,100,6.22,overcast clouds
123,Avarua,CK,-21.2078,-159.775,69.85,68,20,2.3,few clouds
124,Tezu,IN,27.9167,96.1667,94.78,55,32,2.62,scattered clouds
125,East London,ZA,-33.0153,27.9116,56.34,76,0,11.5,clear sky
126,Bundaberg,AU,-24.85,152.35,60.71,63,0,5.95,clear sky
127,Abu Dhabi,AE,24.4667,54.3667,93.31,59,20,8.05,few clouds
128,Kutum,SD,14.2,24.6667,82.44,40,24,9.4,few clouds
129,Guerrero Negro,MX,27.9769,-114.0611,67.24,86,100,12.33,overcast clouds
130,Bethel,US,41.3712,-73.414,66.65,87,0,0.0,clear sky
131,Coaldale,CA,49.7167,-112.6185,58.19,76,0,9.22,clear sky
132,Narok,KE,-1.0783,35.8601,62.64,63,53,11.52,broken clouds
133,Caravelas,BR,-17.7125,-39.2481,67.14,88,0,0.07,clear sky
134,Hermanus,ZA,-34.4187,19.2345,54.81,79,13,15.97,few clouds
135,Ajdabiya,LY,30.7554,20.2263,79.74,52,0,10.83,clear sky
136,Goroka,PG,-6.0834,145.3873,67.46,91,100,2.77,overcast clouds
137,Mae Hong Son,TH,19.3003,97.9685,89.74,62,75,4.61,broken clouds
138,Coihaique,CL,-45.5752,-72.0662,22.95,86,100,4.61,overcast clouds
139,San Quintin,MX,30.4833,-115.95,65.57,91,16,10.36,few clouds
140,Sao Filipe,CV,14.8961,-24.4956,73.22,86,30,7.74,scattered clouds
141,Abaza,RU,52.655,90.0928,80.69,38,93,4.34,overcast clouds
142,Port Hedland,AU,-20.3167,118.5667,77.05,29,8,13.8,clear sky
143,Canavieiras,BR,-15.675,-38.9472,67.01,90,44,2.3,scattered clouds
144,Escanaba,US,45.7453,-87.0646,67.95,94,0,8.01,clear sky
145,Bima,ID,-8.4667,118.7167,84.58,67,48,6.33,scattered clouds
146,Ilulissat,GL,69.2167,-51.1,39.22,100,100,3.44,fog
