City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Panaba,MX,74.03,few clouds,21.2833,-88.2667,Hotel Don Fernando
207,Locri,IT,75.33,clear sky,38.2414,16.2623,Grand Hotel President
208,Grozesti,RO,67.48,broken clouds,44.65,23.3167,Cabana Complex de Vânătoare
209,Nabire,ID,82.33,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
212,Pokhara,NP,84.52,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
214,Kieta,PG,80.98,light rain,-6.2167,155.6333,Uruna Bay Retreat
215,Conceicao Do Araguaia,BR,69.15,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
216,Pundaguitan,PH,84.18,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
217,Olinda,BR,73.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
219,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
220,Porbandar,IN,87.78,haze,21.6422,69.6093,Lords Inn Porbandar
221,Katsuura,JP,79.68,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
222,Alice Springs,AU,69.22,clear sky,-23.7,133.8833,Desert Palms Alice Springs
223,Lorengau,PG,84.18,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
225,Camocim,BR,75.2,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
227,Sibolga,ID,85.84,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
228,Solnechnyy,RU,79.48,light rain,50.7214,136.6319,Hotel complex Pastoral
230,Cairns,AU,74.07,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
231,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
232,Hohhot,CN,70.09,scattered clouds,40.8106,111.6522,Sheraton Hohhot Hotel
235,Caldwell,US,75.07,clear sky,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
238,Waingapu,ID,81.79,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
241,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
243,Jalu,LY,81.34,clear sky,29.0331,21.5482,صاحبة الفخامة
244,Isla Vista,US,74.91,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
245,Labuhan,ID,87.78,overcast clouds,-6.8844,112.2051,DoubleFAG
247,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
248,Wenling,CN,86.86,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
250,Cabo San Lucas,MX,88.9,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
251,Selma,US,82.33,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
255,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
256,Daru,PG,78.21,overcast clouds,-9.0763,143.2092,Daru Lodge
257,Fujin,CN,73.06,broken clouds,47.26,132.0322,Xilong Hotel Fujin Shop
259,Frutal,BR,65.17,overcast clouds,-20.0247,-48.9406,Hotel Recanto Dos Ipês
265,Kolpashevo,RU,74.32,clear sky,58.3131,82.9089,Gostinitsa Legenda
266,Kazachinskoye,RU,78.57,clear sky,57.6953,93.2761,"Tayga, Gostinitsa"
268,Bongor,TD,79.95,broken clouds,10.2806,15.3722,Oryx Palace
269,Tashigang,BT,84.49,overcast clouds,27.3331,91.5542,Lingkhar Lodge
270,Bibiani,GH,69.28,overcast clouds,6.4635,-2.3194,Rodick Hotel
273,Abong Mbang,CM,67.62,overcast clouds,3.9833,13.1833,Auberge Angle Sur
274,Parrita,CR,75.56,overcast clouds,9.5201,-84.3225,Beso del Viento
276,Kosa,RU,82.85,few clouds,59.9445,54.9977,Gostinitsa V Kose
281,Monrovia,LR,74.97,overcast clouds,6.3005,-10.7969,Sunset Inn
283,Uglegorskiy,RU,82.96,overcast clouds,48.2427,41.2531,"""Raytsentr"" Gostinitsa, Kafe"
284,Sao Jose Da Coroa Grande,BR,73.89,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
285,Goderich,CA,66.52,clear sky,43.7501,-81.7165,Harmony Inn
287,Yatou,CN,81.27,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
288,Bourail,NC,68.81,overcast clouds,-21.5667,165.4833,Motel Allamanda
289,Severnyy,RU,66.24,broken clouds,50.677,36.5532,Full House North Mini-Hotel
290,Biarritz,FR,71.64,clear sky,43.4801,-1.5556,Hôtel de l'ocean
291,Lewistown,US,65.14,clear sky,40.5992,-77.5714,Quality Inn & Suites
295,Touros,BR,72.18,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
296,Miramar,US,82.02,clear sky,25.9873,-80.2323,Stadium Hotel
298,Itarema,BR,74.73,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
302,Meulaboh,ID,82.74,overcast clouds,4.1363,96.1285,Kost Pria
304,Koutiala,ML,75.97,broken clouds,12.3917,-5.4642,Hotel La Chaumiere
305,Nakhon Phanom,TH,82.2,light rain,17.3333,104.4167,ป่ายางรีสอร์ท
308,Mount Isa,AU,69.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
309,Redmond,US,66.13,clear sky,47.674,-122.1215,Seattle Marriott Redmond
312,Harper,LR,75.36,overcast clouds,4.375,-7.7169,Screensaver
314,Chokwe,MZ,70.95,clear sky,-24.5333,32.9833,Complexo Sonho Real
316,Tutoia,BR,73.92,clear sky,-2.7619,-42.2744,Pousada Guará's
317,Nizwa,OM,82.08,overcast clouds,22.9333,57.5333,Orient Apartments
321,Sao Joao Da Barra,BR,67.91,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
323,Nishihara,JP,89.65,scattered clouds,26.1842,127.7558,Minshuku Agaihama
326,Majene,ID,79.83,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
329,Antalaha,MG,72.57,light rain,-14.9003,50.2788,Hotel Vitasoa
331,Watsa,CD,69.22,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
332,Iwanai,JP,76.93,overcast clouds,42.9744,140.5089,いわない高原ホテル
334,Grand Gaube,MU,74.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
336,Potiskum,NG,78.26,overcast clouds,11.7091,11.0694,Tamir Hotel Ltd
341,Maningrida,AU,79.61,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
342,Ilhabela,BR,68.11,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
343,Maragogi,BR,73.26,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
347,Klyuchi,RU,86.23,clear sky,52.2667,79.1667,Vesolaya Mayovka
348,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
350,Cherskiy,RU,67.55,overcast clouds,68.75,161.3,Gostinitsa
351,Santa Maria,BR,69.57,overcast clouds,-29.6842,-53.8069,Hotel Morotin
352,Baturaja,ID,89.28,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
353,Kununurra,AU,80.58,clear sky,-15.7667,128.7333,Hotel Kununurra
354,Nouadhibou,MR,67.98,mist,20.931,-17.0347,El Medina
355,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
357,Brigg,GB,68.5,clear sky,53.552,-0.4921,Roomtel Riverside Serviced Apartments
358,Namatanai,PG,81.59,light rain,-3.6667,152.4333,Seagulls Inn Namatani
359,Kinablangan,PH,84.0,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
361,Marawi,PH,77.0,overcast clouds,7.9986,124.2928,Derogongan Residence
365,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
366,Ambovombe,MG,72.18,clear sky,-25.1667,46.0833,RELAHARA
368,Faanui,PF,77.77,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
369,Damavand,IR,85.19,clear sky,35.7178,52.065,آپارتمان زمانیان
371,Tevriz,RU,83.53,clear sky,57.509,72.4042,Postoyalyy Dvor
372,Port Said,EG,78.78,clear sky,31.2565,32.2841,Aracan Hotel
373,Leh,IN,70.88,clear sky,34.1667,77.5833,Hotel Ladakh Greens
376,Augusto Correa,BR,72.23,broken clouds,-1.0217,-46.635,Fazenda Bacuri
378,Hamilton,US,69.42,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
379,Lazaro Cardenas,MX,77.49,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
382,Kendari,ID,73.89,overcast clouds,-3.945,122.4989,Hotel Wixel
383,Alta Floresta,BR,66.99,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
384,Kalutara,LK,80.71,overcast clouds,6.5831,79.9593,Tangerine Beach Hotel
385,Half Moon Bay,US,71.49,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
387,Sao Gabriel Da Cachoeira,BR,70.81,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
389,Gulbarga,IN,72.21,overcast clouds,17.3333,76.8333,OYO 37176 N K Comforts
392,Bemidji,US,68.92,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
393,Ponta Delgada,PT,68.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
395,Jardim,BR,69.3,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
398,Tecoanapa,MX,78.87,overcast clouds,16.5167,-98.75,Hotel Manglares
399,Dong Xoai,VN,77.7,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
400,Inyonga,TZ,68.0,few clouds,-6.7167,32.0667,Eden Rock Lodge
401,Voyvozh,RU,78.82,broken clouds,62.892,54.9635,Gostinitsa Yakor'
405,Contamana,PE,70.9,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
407,Tukrah,LY,78.98,clear sky,32.5341,20.5791,Lagrota restaurant
408,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
416,Fuerte Olimpo,PY,80.44,few clouds,-21.0415,-57.8738,Hospedaje DAMI
417,Masyaf,SY,78.51,few clouds,35.0653,36.3406,شاطئ مايو
419,Cozumel,MX,76.95,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
420,Ust-Nera,RU,88.23,overcast clouds,64.5667,143.2,Hotel Ust-Nera
422,Mathbaria,BD,87.71,broken clouds,22.2876,89.9593,Shikdar Hotel
423,Dampit,ID,78.12,moderate rain,-8.2116,112.7493,Kos Bu Heny
424,Voskresenskoye,RU,80.96,few clouds,56.8381,45.4317,AOM OTABIXA ВОСКРЕСЕНСКОЕ ОДМОСКОВЬЕ
426,Mao,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
428,Carauari,BR,70.41,broken clouds,-4.8828,-66.8958,Hotel Fellip
430,Axim,GH,75.81,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
432,Nome,US,65.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
433,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
434,Inhambane,MZ,69.78,scattered clouds,-23.865,35.3833,Oceano
435,Houma,US,78.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
437,Montepuez,MZ,69.8,broken clouds,-13.1256,38.9997,PembaAparthotel
439,Seoul,KR,88.99,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
445,San Cristobal,VE,66.79,overcast clouds,7.7669,-72.225,Pirineos
447,Fairview,US,70.25,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
448,Dhidhdhoo,MV,81.93,overcast clouds,6.8833,73.1,Dhidhoo beach
450,Srandakan,ID,82.33,overcast clouds,-7.9386,110.2506,Puri Brata
451,Magnitka,RU,78.89,overcast clouds,55.3475,59.6961,Taganay Siti Turizm I Aktivnyy Otdykh
453,Tarko-Sale,RU,65.43,overcast clouds,64.9225,77.785,Yubileynaya
455,Green River,US,70.2,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
456,Rabaul,PG,82.38,light rain,-4.1967,152.1721,Rabaul Hotel
459,Cayenne,GF,74.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
460,Sinnamary,GF,75.15,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
461,Saint-Gabriel,CA,67.68,broken clouds,46.3001,-73.3824,Auberge Le St Gab
463,Tekeli,KZ,77.11,overcast clouds,44.83,78.8239,Vuslat Tekeli
464,Nyurba,RU,67.5,light rain,63.2842,118.3319,"Гостиница ""Comfort"""
468,Plyussa,RU,66.67,overcast clouds,58.4308,29.3654,Service hotel
469,Saint-Joseph,RE,73.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
472,Carutapera,BR,73.24,scattered clouds,-1.195,-46.02,Lidera
475,Belmonte,BR,70.05,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
478,Andra,RU,77.95,clear sky,62.5147,65.8878,"Gostinitsa ""Ob'"""
479,Jieshi,CN,86.27,overcast clouds,22.8134,115.8257,Yuehai Hotel
480,Padilla,CO,65.77,overcast clouds,3.2204,-76.3139,La Granadina
482,Atar,MR,83.82,clear sky,20.5169,-13.0499,Oumou Elghoura
484,Shimoda,JP,86.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
485,Mana,GF,75.76,moderate rain,5.6592,-53.7767,LE SAMANA
487,Savannah Bight,HN,81.73,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
488,Phan Thiet,VN,82.42,overcast clouds,10.9333,108.1,Hotel Saigon-PT
489,Anju,KP,83.86,scattered clouds,39.6178,125.6647,Super Secret Russian Base
490,Biak,ID,76.12,overcast clouds,-0.9131,122.8766,Penginapan Kim
491,Sorong,ID,80.74,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
492,Rawlins,US,71.49,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
494,Jaruco,CU,72.63,clear sky,23.0431,-82.0108,Ruinas Hotel Escaleras de Jaruco
495,Ambilobe,MG,81.63,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
499,Rabo De Peixe,PT,67.28,broken clouds,37.8,-25.5833,Quinta das Giestas
502,Petropavlovsk-Kamchatskiy,RU,73.99,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
510,Plouzane,FR,66.52,clear sky,48.3833,-4.6167,Lymina
511,Prenzlau,DE,68.22,broken clouds,53.3167,13.8667,Hotel Overdiek
512,Yeppoon,AU,69.58,clear sky,-23.1333,150.7333,Villa Mar Colina
513,Phonhong,LA,86.97,moderate rain,18.5007,102.4166,Manyvong Guest House
515,Wanning,CN,85.84,few clouds,18.8003,110.3967,Paradise Hotel
516,Sterlibashevo,RU,77.67,light rain,53.4376,55.2578,"Okhotnich'ye Khozyaystvo ""Bober"""
519,Yabrud,SY,72.23,clear sky,33.9674,36.6574,صالة افراح الاندلس
522,Rudersberg,DE,65.12,scattered clouds,48.8852,9.5293,Hotel & Restaurant Sonne
527,Muyinga,BI,67.37,scattered clouds,-2.8333,30.3333,Hotel Icizanye
528,Campbellsville,US,69.91,clear sky,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
534,Katherine,AU,80.92,clear sky,-14.4667,132.2667,Pine Tree Motel
537,Fayaoue,NC,78.01,light rain,-20.65,166.5333,Chez Dydyce Guesthouse
541,Price,US,76.26,clear sky,39.5994,-110.8107,National 9 - Price River Inn
542,Ziguinchor,SN,79.0,scattered clouds,12.5833,-16.2719,Casa Motel
543,Brownsville,US,82.96,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
544,Salaga,GH,72.9,broken clouds,8.5508,-0.5188,Bore Nada Guest House
547,Loa Janan,ID,88.45,overcast clouds,-0.583,117.095,Kost bu jono
549,Mwinilunga,ZM,66.15,few clouds,-11.7358,24.4293,Kwakuwahi Lodge
550,Borovichi,RU,66.27,overcast clouds,58.3878,33.9155,Gostinitsa Vintazh
551,Hambantota,LK,88.14,scattered clouds,6.1241,81.1185,Bungalow 63
552,Puerto Baquerizo Moreno,EC,70.11,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
554,Okha,RU,68.18,light rain,53.5739,142.9478,Sakhalin-Sfera
555,Kamaishi,JP,78.17,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
557,Dzaoudzi,YT,78.69,scattered clouds,-12.7887,45.2699,Le Rocher
560,Scottsbluff,US,77.77,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
564,Chino Valley,US,83.52,clear sky,34.7575,-112.4538,Primrose Inn & Suites
565,Pamanukan,ID,88.23,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
568,Dubti,ET,84.58,overcast clouds,11.7361,41.0853,degu Shiferaw
570,Qinhuangdao,CN,79.48,overcast clouds,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
571,Port Blair,IN,82.44,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
572,Aquiraz,BR,77.09,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
577,Longjiang,CN,86.56,overcast clouds,47.3303,123.1836,Education Hostel
579,Pushchino,RU,77.09,overcast clouds,54.8339,37.6264,TsarGrad Hotel
580,Sidi Ali,DZ,78.01,clear sky,36.0998,0.4206,Complexe touristique haje bezine
